Building,Ticker,RecipeID,WfCst,Deprec,Area,AllBuildCst,Output1CNT,Output1MAT,Output2CNT,Output2MAT,Output3CNT,Output3MAT,Input1CNT,Input1MAT,Input2CNT,Input2MAT,Input3CNT,Input3MAT,Input4CNT,Input4MAT,Input5CNT,Input5MAT,Input6CNT,Input6MAT,Input7CNT,Input7MAT,Input8CNT,Input8MAT,Input9CNT,Input9MAT,Input10CNT,Input10MAT,RecipP/D,Runs P/D,Output P/D,AreaPerOutput
APF,ADS,ADS,4458.25,4332.50,51.6,1423032,1,ADS,,,,,1,BWS,1,OS,8,TRA,,,,,,,,,,,,,,,0.62500,1.60000,1.60000,32.25000
APF,WS,WS,8024.85,7798.50,51.6,1423032,20,WS,,,,,1,BWS,1,DA,,,,,,,,,,,,,,,,,1.12500,0.88889,17.77778,2.90250
APF,AIR,AIR,11145.63,10831.25,51.6,1423032,1,AIR,,,,,1,BAC,1,FC,1,GV,1,H2O,1,HCP,1,NS,1,PCB,1,SAR,1,WAI,,,1.56250,0.64000,0.64000,80.62500
APF,ACS,ACS,2674.95,2599.50,51.6,1423032,1,ACS,,,,,1,FC,1,SAR,10,THF,1,WAI,,,,,,,,,,,,,0.37500,2.66667,2.66667,19.35000
APF,LIS,LIS,11145.63,10831.25,51.6,1423032,1,LIS,,,,,1,AIR,1,BMF,1,WAI,1,WR,,,,,,,,,,,,,1.56250,0.64000,0.64000,80.62500
APF,NV1,NV1,6687.38,6498.75,51.6,1423032,1,NV1,,,,,1,SNM,1,WS,,,,,,,,,,,,,,,,,0.93750,1.06667,1.06667,48.37500
APF,PDA,PDA,2674.95,2599.50,51.6,1423032,32,PDA,,,,,2,HPC,1,LD,,,,,,,,,,,,,,,,,0.37500,2.66667,85.33333,0.60469
APF,FFC,FFC,11145.63,10831.25,51.6,1423032,1,FFC,,,,,1,BMF,1,DA,5,W,1,WAI,,,,,,,,,,,,,1.56250,0.64000,0.64000,80.62500
ASM,AST,AST,1648.28,152.75,44.2,272100,4,AST,,,,,1,AL,3,TI,,,,,,,,,,,,,,,,,0.25000,4.00000,16.00000,2.76250
ASM,FET,FET,1648.28,152.75,44.2,272100,4,FET,,,,,1,FE,3,TI,,,,,,,,,,,,,,,,,0.25000,4.00000,16.00000,2.76250
ASM,WAL,WAL,1648.28,152.75,44.2,272100,4,WAL,,,,,3,AL,1,W,,,,,,,,,,,,,,,,,0.25000,4.00000,16.00000,2.76250
ASM,CTF,CTF,1648.28,152.75,44.2,272100,1,CTF,,,,,1,O,1,SI,2,WAL,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,11.05000
ASM,FAL,FAL,1648.28,152.75,44.2,272100,6,FAL,,,,,3,AL,3,FE,,,,,,,,,,,,,,,,,0.25000,4.00000,24.00000,1.84167
BMP,OVE,OVE_1,658.20,51.54,22.0,44510,20,OVE,,,,,100,PE,25,PG,,,,,,,,,,,,,,,,,0.37500,2.66667,53.33333,0.41250
BMP,EXO,EXO_1,186.49,14.60,22.0,44510,10,EXO,,,,,1,AL,1,MFK,10,OVE,,,,,,,,,,,,,,,0.10625,9.41176,94.11765,0.23375
BMP,EXO,EXO_2,164.55,12.89,22.0,44510,10,EXO,,,,,1,AL,10,OVE,1,SWF,,,,,,,,,,,,,,,0.09375,10.66667,106.66667,0.20625
BMP,EXO,EXO_3,219.40,17.18,22.0,44510,10,EXO,,,,,1,AL,10,OVE,,,,,,,,,,,,,,,,,0.12500,8.00000,80.00000,0.27500
BMP,PE,PE,307.16,24.05,22.0,44510,200,PE,,,,,1,C,2,H,,,,,,,,,,,,,,,,,0.17500,5.71429,1142.85714,0.01925
BMP,OVE,OVE_2,329.10,25.77,22.0,44510,30,OVE,,,,,1,COT,10,PG,,,,,,,,,,,,,,,,,0.18750,5.33333,160.00000,0.13750
BMP,PWO,PWO,329.10,25.77,22.0,44510,20,PWO,,,,,1,COT,50,PG,,,,,,,,,,,,,,,,,0.18750,5.33333,106.66667,0.20625
BMP,REP,REP,274.25,21.48,22.0,44510,4,REP,,,,,10,INS,1,MFK,1,SFK,,,,,,,,,,,,,,,0.15625,6.40000,25.60000,0.85938
BMP,MG,MG,131.64,10.31,22.0,44510,6,MG,,,,,1,MGS,,,,,,,,,,,,,,,,,,,0.07500,13.33333,80.00000,0.27500
BMP,OVE,OVE_3,329.10,25.77,22.0,44510,20,OVE,,,,,50,PE,1,RCO,,,,,,,,,,,,,,,,,0.18750,5.33333,106.66667,0.20625
BMP,SEA,SEA,329.10,25.77,22.0,44510,30,SEA,,,,,30,PG,1,S,1,SI,,,,,,,,,,,,,,,0.18750,5.33333,160.00000,0.13750
BMP,PT,PT_1,383.95,30.07,22.0,44510,7,PT,,,,,1,STL,1,TRN,,,,,,,,,,,,,,,,,0.21875,4.57143,32.00000,0.68750
BMP,PT,PT_2,383.95,30.07,22.0,44510,15,PT,,,,,1,STL,1,W,,,,,,,,,,,,,,,,,0.21875,4.57143,68.57143,0.32083
BMP,PT,PT_3,383.95,30.07,22.0,44510,6,PT,,,,,2,SFK,1,STL,,,,,,,,,,,,,,,,,0.21875,4.57143,27.42857,0.80208
BMP,PT,PT_4,383.95,30.07,22.0,44510,5,PT,,,,,1,STL,,,,,,,,,,,,,,,,,,,0.21875,4.57143,22.85714,0.96250
BMP,SUN,SUN,219.40,17.18,22.0,44510,20,SUN,,,,,10,C,20,OVE,,,,,,,,,,,,,,,,,0.12500,8.00000,160.00000,0.13750
BMP,OFF,OFF,219.40,17.18,22.0,44510,50,OFF,,,,,20,EPO,20,PG,,,,,,,,,,,,,,,,,0.12500,8.00000,400.00000,0.05500
BMP,I,I,219.40,17.18,22.0,44510,1,I,,,,,3,CLI,,,,,,,,,,,,,,,,,,,0.12500,8.00000,8.00000,2.75000
BMP,MCG,MCG,274.25,21.48,22.0,44510,50,MCG,,,,,4,LST,2,SIO,,,,,,,,,,,,,,,,,0.15625,6.40000,320.00000,0.06875
BMP,STR,STR,329.10,25.77,22.0,44510,2,STR,,,,,4,AL,50,PE,,,,,,,,,,,,,,,,,0.18750,5.33333,10.66667,2.06250
CHP,PFE,PFE,1080.41,60.83,27.2,36294,10,PFE,,,,,10,AMM,4,REA,,,,,,,,,,,,,,,,,0.50000,2.00000,20.00000,1.36000
CHP,SOI,SOI,1350.51,76.04,27.2,36294,16,SOI,,,,,20,BRM,10,CLI,,,,,,,,,,,,,,,,,0.62500,1.60000,25.60000,1.06250
CHP,FLX,FLX,675.26,38.02,27.2,36294,10,FLX,,,,,1,LST,,,,,,,,,,,,,,,,,,,0.31250,3.20000,32.00000,0.85000
CHP,CA,CA,405.15,22.81,27.2,36294,1,CA,,,,,1,LST,,,,,,,,,,,,,,,,,,,0.18750,5.33333,5.33333,5.10000
CHP,IND,IND,540.21,30.42,27.2,36294,1,IND,,,,,1,CU,1,MG,1,S,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,6.80000
CHP,NAB,NAB,405.15,22.81,27.2,36294,20,NAB,,,,,1,BOR,5,H,1,NA,,,,,,,,,,,,,,,0.18750,5.33333,106.66667,0.25500
CHP,LCR,LCR,877.83,49.43,27.2,36294,1,LCR,,,,,1,O,1,SI,,,,,,,,,,,,,,,,,0.40625,2.46154,2.46154,11.05000
CHP,REA,REA,945.36,53.23,27.2,36294,10,REA,,,,,25,BRM,,,,,,,,,,,,,,,,,,,0.43750,2.28571,22.85714,1.19000
CHP,SC,SC,877.83,49.43,27.2,36294,20,SC,,,,,2,CA,1,MG,1,TA,,,,,,,,,,,,,,,0.40625,2.46154,49.23077,0.55250
CHP,NS,NS,270.10,15.21,27.2,36294,4,NS,,,,,2,H2O,1,LST,2,N,,,,,,,,,,,,,,,0.12500,8.00000,32.00000,0.85000
CHP,CL,CL,783.30,44.10,27.2,36294,1,CL,2,NA,,,1,H2O,3,HAL,,,,,,,,,,,,,,,,,0.36250,2.75862,2.75862,9.86000
CHP,MED,MED,1080.41,60.83,27.2,36294,16,MED,,,,,1,AL,4,COT,1,HER,50,PE,,,,,,,,,,,,,0.50000,2.00000,32.00000,0.85000
CHP,OLF,OLF,540.21,30.42,27.2,36294,6,OLF,,,,,10,REA,6,VEG,,,,,,,,,,,,,,,,,0.25000,4.00000,24.00000,1.13333
CLF,HMS,HMS,527.85,163.87,41.8,74380,10,HMS,,,,,6,GC,1,IND,1,NL,,,,,,,,,,,,,,,0.43750,2.28571,22.85714,1.82875
CLF,LC,LC,603.26,187.28,41.8,74380,10,LC,,,,,1,BLE,10,HD,10,PCB,2,SIL,,,,,,,,,,,,,0.50000,2.00000,20.00000,2.09000
CLF,HSS,HSS,754.08,234.10,41.8,74380,20,HSS,,,,,1,BLE,5,NL,5,PCB,5,SEN,,,,,,,,,,,,,0.62500,1.60000,32.00000,1.30625
CLR,NFI,NFI,782.11,363.28,32.1,154858,1200,NFI,,,,,10,C,2,SI,,,,,,,,,,,,,,,,,0.50000,2.00000,2400.00000,0.01338
CLR,TRN,TRN,244.41,113.52,32.1,154858,10,TRN,,,,,1,AL,1,SI,,,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.50156
CLR,TRA,TRA,195.53,90.82,32.1,154858,1,TRA,,,,,1,CAP,1,SWF,1,TRN,,,,,,,,,,,,,,,0.12500,8.00000,8.00000,4.01250
CLR,NCS,NCS,586.58,272.46,32.1,154858,100,NCS,,,,,1,C,,,,,,,,,,,,,,,,,,,0.37500,2.66667,266.66667,0.12038
CLR,LDI,LDI,342.17,158.93,32.1,154858,6,LDI,,,,,1,GAL,1,SI,,,,,,,,,,,,,,,,,0.21875,4.57143,27.42857,1.17031
CLR,SWF,SWF,488.82,227.05,32.1,154858,30,SWF,,,,,1,AL,1,SI,,,,,,,,,,,,,,,,,0.31250,3.20000,96.00000,0.33438
CLR,CAP,CAP,391.06,181.64,32.1,154858,15,CAP,,,,,1,FE,1,SI,,,,,,,,,,,,,,,,,0.25000,4.00000,60.00000,0.53500
CLR,SFE,SFE,195.53,90.82,32.1,154858,1,SFE,,,,,1,CBS,2,CF,,,,,,,,,,,,,,,,,0.12500,8.00000,8.00000,4.01250
CLR,MTC,MTC,391.06,181.64,32.1,154858,2,MTC,,,,,2,NCS,,,,,,,,,,,,,,,,,,,0.25000,4.00000,8.00000,4.01250
CLR,MWF,MWF,488.82,227.05,32.1,154858,20,MWF,,,,,2,AL,2,SI,,,,,,,,,,,,,,,,,0.31250,3.20000,64.00000,0.50156
CLR,MFE,MFE,391.06,181.64,32.1,154858,1,MFE,,,,,1,CBM,4,CF,,,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,8.02500
COL,,,137.13,22.78,20.0,36125,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,6.40000,0.00000,#DIV/0!
DRS,CCD,CCD,1891.56,809.76,38.8,615388,1,CCD,,,,,1,BSC,1,DCH,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,12.12500
DRS,DCH,DCH,1059.28,453.46,38.8,615388,1,DCH,,,,,1,DRF,1,MPC,1,POW,1,SOL,,,,,,,,,,,,,0.17500,5.71429,5.71429,6.79000
DRS,SUD,SUD,2269.88,971.71,38.8,615388,1,SUD,,,,,1,BSC,1,DCH,1,SAR,,,,,,,,,,,,,,,0.37500,2.66667,2.66667,14.55000
DRS,RED,RED,1891.56,809.76,38.8,615388,1,RED,,,,,1,DCH,1,SAR,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,12.12500
DRS,SRD,SRD,1891.56,809.76,38.8,615388,1,SRD,,,,,1,DCH,1,SAR,2,UTS,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,12.12500
DRS,SDR,SDR,2648.19,1133.66,38.8,615388,1,SDR,,,,,1,BSC,1,DCH,1,SEQ,,,,,,,,,,,,,,,0.43750,2.28571,2.28571,16.97500
DRS,DRF,DRF_1,756.63,323.90,38.8,615388,1,DRF,,,,,1,DCS,50,NFI,,,,,,,,,,,,,,,,,0.12500,8.00000,8.00000,4.85000
ECA,CBL,CBL,526.08,809.76,40.2,496204,1,CBL,,,,,12,BE,60,HCC,12,LI,150,PG,,,,,,,,,,,,,0.31250,3.20000,3.20000,12.56250
ECA,POW,POW,210.43,323.90,40.2,496204,1,POW,,,,,4,LI,1,NCS,,,,,,,,,,,,,,,,,0.12500,8.00000,8.00000,5.02500
ECA,SOL,SOL,210.43,323.90,40.2,496204,12,SOL,,,,,4,BCO,1,BRO,2,CU,2,SI,,,,,,,,,,,,,0.12500,8.00000,96.00000,0.41875
ECA,FIR,FIR,3682.57,5668.30,40.2,496204,1,FIR,,,,,1,ACS,8,AFR,10,CTF,4,EES,1,RCS,10,WAL,,,,,,,,,2.18750,0.45714,0.45714,87.93750
ECA,RAG,RAG,2630.41,4048.78,40.2,496204,1,RAG,,,,,1,ACS,8,AST,4,BFR,6,CF,4,ETC,1,RCS,,,,,,,,,1.56250,0.64000,0.64000,62.81250
ECA,CBS,CBS,315.65,485.85,40.2,496204,1,CBS,,,,,20,BCO,6,BE,6,LI,60,PG,,,,,,,,,,,,,0.18750,5.33333,5.33333,7.53750
ECA,SP,SP,315.65,485.85,40.2,496204,12,SP,,,,,8,GL,24,SOL,,,,,,,,,,,,,,,,,0.18750,5.33333,64.00000,0.62813
ECA,CBM,CBM,420.87,647.81,40.2,496204,1,CBM,,,,,8,BE,40,BGC,8,LI,120,PG,,,,,,,,,,,,,0.25000,4.00000,4.00000,10.05000
EDM,SCN,SCN,1131.11,512.42,36.0,131680,8,SCN,,,,,4,CU,100,PE,,,,,,,,,,,,,,,,,0.75000,1.33333,10.66667,3.37500
EDM,HOG,HOG,282.78,128.10,36.0,131680,1,HOG,,,,,1,DCS,1,HD,1,NG,,,,,,,,,,,,,,,0.18750,5.33333,5.33333,6.75000
EDM,RAD,RAD,188.52,85.40,36.0,131680,1,RAD,,,,,1,DCS,1,POW,1,SFK,,,,,,,,,,,,,,,0.12500,8.00000,8.00000,4.50000
EDM,MHP,MHP,188.52,85.40,36.0,131680,1,MHP,,,,,1,PCB,1,TRA,,,,,,,,,,,,,,,,,0.12500,8.00000,8.00000,4.50000
EDM,BID,BID,282.78,128.10,36.0,131680,2,BID,,,,,2,CD,1,KV,2,SAR,,,,,,,,,,,,,,,0.18750,5.33333,10.66667,3.37500
EEP,EES,EES,19360.05,2661.75,116.8,1291820,1,EES,,,,,1,ES,4,FLX,4,REA,,,,,,,,,,,,,,,0.75000,1.33333,1.33333,87.60000
EEP,ES,ES,8066.69,1109.06,116.8,1291820,10,ES,,,,,1,LES,,,,,,,,,,,,,,,,,,,0.31250,3.20000,32.00000,3.65000
ELP,SAR,SAR,904.67,832.43,40.6,410428,1,SAR,,,,,4,PCB,16,SEN,,,,,,,,,,,,,,,,,0.41875,2.38806,2.38806,17.00125
ELP,CD,CD,904.67,832.43,40.6,410428,1,CD,,,,,2,BCO,1,DIS,,,,,,,,,,,,,,,,,0.41875,2.38806,2.38806,17.00125
ELP,AAR,AAR,904.67,832.43,40.6,410428,3,AAR,,,,,2,AU,1,KV,4,PCB,6,SWF,,,,,,,,,,,,,0.41875,2.38806,7.16418,5.66708
ELP,AWF,AWF,877.66,807.58,40.6,410428,5,AWF,,,,,10,BAC,1,MAG,10,PE,,,,,,,,,,,,,,,0.40625,2.46154,12.30769,3.29875
ELP,BWS,BWS,675.13,621.22,40.6,410428,1,BWS,,,,,1,DCM,1,HD,1,MB,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,12.68750
ELP,HPC,HPC,472.59,434.85,40.6,410428,1,HPC,,,,,1,CD,1,DCS,1,MB,,,,,,,,,,,,,,,0.21875,4.57143,4.57143,8.88125
ELP,BMF,BMF,945.18,869.70,40.6,410428,1,BMF,,,,,1,DCL,1,FAN,1,MB,1,TPU,,,,,,,,,,,,,0.43750,2.28571,2.28571,17.76250
ELP,LFE,LFE,675.13,621.22,40.6,410428,1,LFE,,,,,1,CBL,3,CTF,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,12.68750
EXT,,,329.10,45.56,31.0,38102,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31250,3.20000,0.00000,#DIV/0!
FER,VIT,VIT,904.89,149.47,32.2,64250,20,VIT,,,,,1,AMM,1,CA,10,DW,1,I,4,PIB,,,,,,,,,,,0.50000,2.00000,40.00000,0.80500
FER,WIN,WIN,904.89,149.47,32.2,64250,10,WIN,,,,,1,AMM,20,DW,15,GRA,15,REA,,,,,,,,,,,,,0.50000,2.00000,20.00000,1.61000
FER,GIN,GIN,735.22,121.45,32.2,64250,4,GIN,,,,,1,AMM,2,DW,1,ES,2,GRN,,,,,,,,,,,,,0.40625,2.46154,9.84615,3.27031
FER,ALE,ALE,723.91,119.58,32.2,64250,6,ALE,,,,,1,AMM,3,DW,2,GRN,1,HOP,,,,,,,,,,,,,0.40000,2.50000,15.00000,2.14667
FER,KOM,KOM,395.89,65.39,32.2,64250,6,KOM,,,,,1,AMM,4,DW,1,HER,,,,,,,,,,,,,,,0.21875,4.57143,27.42857,1.17396
FP,DW,DW_1,87.76,13.63,16.0,27528,10,DW,,,,,10,H2O,1,PG,,,,,,,,,,,,,,,,,0.12500,8.00000,80.00000,0.20000
FP,DW,DW_2,43.88,6.81,16.0,27528,7,DW,,,,,10,H2O,,,,,,,,,,,,,,,,,,,0.06250,16.00000,112.00000,0.14286
FP,PPA,PPA_1,219.40,34.06,16.0,27528,6,PPA,,,,,1,ALG,1,BEA,1,H2O,,,,,,,,,,,,,,,0.31250,3.20000,19.20000,0.83333
FP,COF,COF,131.64,20.44,16.0,27528,3,COF,,,,,1,CAF,3,DW,,,,,,,,,,,,,,,,,0.18750,5.33333,16.00000,1.00000
FP,RAT,RAT_1,109.70,17.03,16.0,27528,10,RAT,,,,,1,ALG,1,GRN,1,NUT,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_2,109.70,17.03,16.0,27528,10,RAT,,,,,1,ALG,1,GRN,1,VEG,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_3,109.70,17.03,16.0,27528,10,RAT,,,,,1,BEA,1,GRN,1,NUT,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_4,109.70,17.03,16.0,27528,10,RAT,,,,,1,BEA,1,GRN,1,VEG,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_5,109.70,17.03,16.0,27528,10,RAT,,,,,1,ALG,1,MAI,1,NUT,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_6,109.70,17.03,16.0,27528,10,RAT,,,,,1,ALG,1,MAI,1,VEG,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_7,109.70,17.03,16.0,27528,10,RAT,,,,,1,BEA,1,MAI,1,NUT,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_8,109.70,17.03,16.0,27528,10,RAT,,,,,1,BEA,1,MAI,1,VEG,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_9,109.70,17.03,16.0,27528,10,RAT,,,,,1,GRN,1,MUS,1,NUT,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_10,109.70,17.03,16.0,27528,10,RAT,,,,,1,MAI,1,MUS,1,NUT,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_11,109.70,17.03,16.0,27528,10,RAT,,,,,1,GRN,1,MUS,1,VEG,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,RAT,RAT_12,109.70,17.03,16.0,27528,10,RAT,,,,,1,MAI,1,MUS,1,VEG,,,,,,,,,,,,,,,0.15625,6.40000,64.00000,0.25000
FP,PPA,PPA_2,131.64,20.44,16.0,27528,4,PPA,,,,,2,ALG,1,H2O,,,,,,,,,,,,,,,,,0.18750,5.33333,21.33333,0.75000
FP,PPA,PPA_3,131.64,20.44,16.0,27528,4,PPA,,,,,2,BEA,1,H2O,,,,,,,,,,,,,,,,,0.18750,5.33333,21.33333,0.75000
FP,MEA,MEA,285.22,44.28,16.0,27528,2,MEA,,,,,2,FIM,1,MTP,,,,,,,,,,,,,,,,,0.40625,2.46154,4.92308,3.25000
FP,FIM,FIM,219.40,34.06,16.0,27528,2,FIM,,,,,1,HER,2,RAT,,,,,,,,,,,,,,,,,0.31250,3.20000,6.40000,2.50000
FP,FOD,FOD,219.40,34.06,16.0,27528,16,FOD,,,,,5,MAI,5,NUT,5,VEG,,,,,,,,,,,,,,,0.31250,3.20000,51.20000,0.31250
FRM,NUT,NUT,822.75,87.29,35.0,26645,12,NUT,,,,,1,H2O,,,,,,,,,,,,,,,,,,,0.93750,1.06667,12.80000,2.73438
FRM,BEA,BEA_1,137.13,14.55,35.0,26645,2,BEA,,,,,1,H2O,,,,,,,,,,,,,,,,,,,0.15625,6.40000,12.80000,2.73438
FRM,GRN,GRN_1,274.25,29.10,35.0,26645,4,GRN,,,,,1,H2O,,,,,,,,,,,,,,,,,,,0.31250,3.20000,12.80000,2.73438
FRM,RCO,RCO_1,219.40,23.28,35.0,26645,2,RCO,,,,,2,H2O,4,NS,,,,,,,,,,,,,,,,,0.25000,4.00000,8.00000,4.37500
FRM,RCO,RCO_2,329.10,34.92,35.0,26645,1,RCO,,,,,2,H2O,,,,,,,,,,,,,,,,,,,0.37500,2.66667,2.66667,13.12500
FRM,HCP,HCP_1,274.25,29.10,35.0,26645,4,HCP,,,,,2,H2O,,,,,,,,,,,,,,,,,,,0.31250,3.20000,12.80000,2.73438
FRM,VEG,VEG_1,246.83,26.19,35.0,26645,4,VEG,,,,,3,H2O,,,,,,,,,,,,,,,,,,,0.28125,3.55556,14.22222,2.46094
FRM,HER,HER,1097.00,116.39,35.0,26645,4,HER,,,,,1,DDT,4,H2O,,,,,,,,,,,,,,,,,1.25000,0.80000,3.20000,10.93750
FRM,MAI,MAI_1,767.90,81.47,35.0,26645,12,MAI,,,,,4,H2O,,,,,,,,,,,,,,,,,,,0.87500,1.14286,13.71429,2.55208
FRM,GRN,GRN_2,205.69,21.82,35.0,26645,4,GRN,,,,,4,H2O,,,,,,,,,,,,,,,,,,,0.23438,4.26667,17.06667,2.05078
FRM,BEA,BEA_2,219.40,23.28,35.0,26645,4,BEA,,,,,6,H2O,,,,,,,,,,,,,,,,,,,0.25000,4.00000,16.00000,2.18750
FS,FLO,FLO,754.08,109.89,31.0,48260,1,FLO,,,,,10,AL,4,STL,,,,,,,,,,,,,,,,,0.50000,2.00000,2.00000,15.50000
FS,BRO,BRO,377.04,54.94,31.0,48260,3,BRO,,,,,1,AL,2,CU,,,,,,,,,,,,,,,,,0.25000,4.00000,12.00000,2.58333
FS,BGC,BGC,282.78,41.21,31.0,48260,10,BGC,,,,,1,BGO,300,PE,,,,,,,,,,,,,,,,,0.18750,5.33333,53.33333,0.58125
FS,BCO,BCO,282.78,41.21,31.0,48260,10,BCO,,,,,1,CU,300,PE,,,,,,,,,,,,,,,,,0.18750,5.33333,53.33333,0.58125
FS,SFK,SFK,113.11,16.48,31.0,48260,16,SFK,,,,,1,FE,,,,,,,,,,,,,,,,,,,0.07500,13.33333,213.33333,0.14531
FS,HCC,HCC,282.78,41.21,31.0,48260,10,HCC,,,,,300,PE,1,RGO,,,,,,,,,,,,,,,,,0.18750,5.33333,53.33333,0.58125
FS,BFR,BFR,471.30,68.68,31.0,48260,1,BFR,,,,,1,AL,1,STL,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,9.68750
FS,MFK,MFK,113.11,16.48,31.0,48260,8,MFK,,,,,1,STL,,,,,,,,,,,,,,,,,,,0.07500,13.33333,106.66667,0.29063
FS,AFR,AFR,565.56,82.42,31.0,48260,1,AFR,,,,,1,AL,1,ZR,,,,,,,,,,,,,,,,,0.37500,2.66667,2.66667,11.62500
FS,UTS,UTS,377.04,54.94,31.0,48260,1,UTS,,,,,6,FE,2,SFK,,,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,7.75000
FS,SEQ,SEQ,282.78,41.21,31.0,48260,1,SEQ,,,,,1,HOG,2,STL,2,TI,,,,,,,,,,,,,,,0.18750,5.33333,5.33333,5.81250
FS,RGO,RGO,377.04,54.94,31.0,48260,5,RGO,,,,,4,AU,1,CU,,,,,,,,,,,,,,,,,0.25000,4.00000,20.00000,1.55000
FS,BGO,BGO,377.04,54.94,31.0,48260,5,BGO,,,,,4,AU,1,FE,,,,,,,,,,,,,,,,,0.25000,4.00000,20.00000,1.55000
GF,NG,NG,1809.78,344.79,36.6,96670,10,NG,,,,,10,GL,10,NCS,,,,,,,,,,,,,,,,,0.75000,1.33333,13.33333,2.74500
